release_date,budget
3/8/2017,185000000
5/25/1990,40000000
5/23/2012,225000000
9/9/2015,61000000
6/26/1987,30000000
2/5/2020,75000000
11/19/1975,3000000
3/14/2012,42000000
9/26/2012,30000000
7/19/1995,6000000
3/2/2007,65000000
6/7/2005,110000000
9/20/2017,104000000
6/20/1975,7000000
12/20/2006,110000000
3/18/2015,110000000
12/11/2001,58000000
12/25/2020,150000000
5/22/2019,183000000
9/15/2021,165000000
12/1/2017,15000000
4/27/2003,110000000
7/29/1994,23000000
9/27/2016,110000000
5/13/2004,175000000
7/17/2009,7500000
5/24/1995,72000000
7/12/2019,260000000
5/6/2009,150000000
5/24/1989,48000000
7/7/2021,200000000
6/22/1960,806947
10/22/1991,25000000
11/3/2017,55000000
7/3/2002,140000000
12/13/2018,19800000
12/7/2011,145000000
6/22/2001,38000000
3/18/2021,70000000
9/30/2021,110000000
10/6/2000,4500000
12/14/2006,55000000
11/5/2003,150000000
6/19/2019,175000000
3/29/2006,80000000
3/24/2021,200000000
11/20/2019,150000000
12/18/2019,250000000
9/11/2007,15000000
2/23/1996,4000000
5/24/2006,210000000
7/23/2013,120000000
12/10/2016,25000000
7/1/2008,150000000
6/5/2014,145000000
6/18/1998,90000000
8/1/2013,39200000
2/12/2020,85000000
6/25/1996,75000000
12/15/2004,30000000
12/20/2017,84000000
3/29/2019,80000000
6/29/2005,100000000
7/18/1986,18500000
8/22/2020,205000000
10/18/2019,14000000
8/5/2009,30000000
9/9/2004,24000000
10/16/2015,13000000
11/19/1992,18000000
5/17/2006,125000000
6/14/2002,60000000
11/18/2009,50000000
10/13/2021,50000000
11/22/2000,75000000
5/5/2013,190000000
3/1/2022,185000000
1/13/2017,85000000
11/25/1998,120000000
5/26/2021,200000000
5/23/1984,28000000
3/4/2009,130000000
10/9/1993,24000000
9/1/2021,150000000
1/31/2019,170000000
2/7/2020,0
5/14/2014,160000000
11/13/2012,120000000
9/17/2002,35000000
4/16/1999,80000000
10/1/2004,1200000
12/11/2015,28000000
5/17/2007,160000000
9/1/2000,10000000
8/7/2013,37000000
11/16/2011,110000000
6/23/2010,68000000
8/7/2013,115000000
9/12/2005,40000000
7/23/2015,150000000
